❯ poetry run python -m deriv8
Loading data...
Using 60000/60000 random training examples and 10000/10000 random test examples
Preparing data...
Training 120 mini-batches of size 500 for 20 epochs
epoch: 0
 batch: 116/120  training loss: 0.68  train accuracy: 80.00%  duration: 8.38s
 batch: 117/120  training loss: 0.69  train accuracy: 78.60%  duration: 8.68s
 batch: 118/120  training loss: 0.75  train accuracy: 77.20%  duration: 7.93s
 batch: 119/120  training loss: 0.84  train accuracy: 74.20%  duration: 7.90s
 batch: 120/120  training loss: 0.69  train accuracy: 78.40%  duration: 7.94s
 test accuracy: 79.12%  duration: 1050.52s (test: 61.91s)
epoch: 1
 batch: 1/120  training loss: 0.61  train accuracy: 80.60%  duration: 8.01s
 batch: 2/120  training loss: 0.70  train accuracy: 79.00%  duration: 8.35s
 batch: 3/120  training loss: 0.74  train accuracy: 76.00%  duration: 8.33s
 batch: 4/120  training loss: 0.69  train accuracy: 79.00%  duration: 8.00s
 batch: 5/120  training loss: 0.73  train accuracy: 77.20%  duration: 8.06s
 batch: 6/120  training loss: 0.77  train accuracy: 76.40%  duration: 8.39s
 batch: 7/120  training loss: 0.65  train accuracy: 80.40%  duration: 8.13s
 batch: 8/120  training loss: 0.66  train accuracy: 77.40%  duration: 8.09s
 batch: 9/120  training loss: 0.72  train accuracy: 78.00%  duration: 8.07s
 batch: 10/120  training loss: 0.68  train accuracy: 80.40%  duration: 8.11s
 batch: 11/120  training loss: 0.65  train accuracy: 80.20%  duration: 8.05s
 batch: 12/120  training loss: 0.68  train accuracy: 81.20%  duration: 8.08s
 batch: 13/120  training loss: 0.62  train accuracy: 81.60%  duration: 8.09s
 batch: 14/120  training loss: 0.72  train accuracy: 77.60%  duration: 8.35s
 batch: 15/120  training loss: 0.70  train accuracy: 80.00%  duration: 8.20s
 batch: 16/120  training loss: 0.78  train accuracy: 77.40%  duration: 7.97s
 batch: 17/120  training loss: 0.65  train accuracy: 81.60%  duration: 8.40s
 batch: 18/120  training loss: 0.70  train accuracy: 78.40%  duration: 8.38s
 batch: 19/120  training loss: 0.63  train accuracy: 79.80%  duration: 8.42s
 batch: 20/120  training loss: 0.66  train accuracy: 79.00%  duration: 8.50s
 batch: 21/120  training loss: 0.68  train accuracy: 77.80%  duration: 8.42s
 batch: 22/120  training loss: 0.71  train accuracy: 77.20%  duration: 9.00s
 batch: 23/120  training loss: 0.64  train accuracy: 80.60%  duration: 8.68s
 batch: 24/120  training loss: 0.69  train accuracy: 79.80%  duration: 8.15s
 batch: 25/120  training loss: 0.63  train accuracy: 79.80%  duration: 8.13s
 batch: 26/120  training loss: 0.68  train accuracy: 79.20%  duration: 8.29s
 batch: 27/120  training loss: 0.65  train accuracy: 79.20%  duration: 8.03s
 batch: 28/120  training loss: 0.65  train accuracy: 79.20%  duration: 8.69s
 batch: 29/120  training loss: 0.57  train accuracy: 82.00%  duration: 8.55s
 batch: 30/120  training loss: 0.69  train accuracy: 80.20%  duration: 8.92s
 batch: 31/120  training loss: 0.61  train accuracy: 79.80%  duration: 8.43s
 batch: 32/120  training loss: 0.72  train accuracy: 78.80%  duration: 8.14s
 batch: 33/120  training loss: 0.68  train accuracy: 79.40%  duration: 8.20s
 batch: 34/120  training loss: 0.64  train accuracy: 78.60%  duration: 8.15s
 batch: 35/120  training loss: 0.79  train accuracy: 75.80%  duration: 7.96s
 batch: 36/120  training loss: 0.57  train accuracy: 82.20%  duration: 8.23s
 batch: 37/120  training loss: 0.59  train accuracy: 82.80%  duration: 8.28s
 batch: 38/120  training loss: 0.54  train accuracy: 81.80%  duration: 8.53s
 batch: 39/120  training loss: 0.63  train accuracy: 80.80%  duration: 8.97s
 batch: 40/120  training loss: 0.68  train accuracy: 77.00%  duration: 8.61s
 batch: 41/120  training loss: 0.72  train accuracy: 77.40%  duration: 7.79s
 batch: 42/120  training loss: 0.71  train accuracy: 77.00%  duration: 7.91s
 batch: 43/120  training loss: 0.69  train accuracy: 78.40%  duration: 7.67s
 batch: 44/120  training loss: 0.58  train accuracy: 83.80%  duration: 7.63s
 batch: 45/120  training loss: 0.66  train accuracy: 80.40%  duration: 7.64s
 batch: 46/120  training loss: 0.56  train accuracy: 83.60%  duration: 7.71s
 batch: 47/120  training loss: 0.62  train accuracy: 80.00%  duration: 7.72s
 batch: 48/120  training loss: 0.55  train accuracy: 82.20%  duration: 7.87s
 batch: 49/120  training loss: 0.61  train accuracy: 80.60%  duration: 7.87s
 batch: 50/120  training loss: 0.57  train accuracy: 82.00%  duration: 7.85s
 batch: 51/120  training loss: 0.57  train accuracy: 81.60%  duration: 7.84s
 batch: 52/120  training loss: 0.67  train accuracy: 79.20%  duration: 7.86s
 batch: 53/120  training loss: 0.65  train accuracy: 80.20%  duration: 7.56s
 batch: 54/120  training loss: 0.63  train accuracy: 81.60%  duration: 7.61s
 batch: 55/120  training loss: 0.59  train accuracy: 82.40%  duration: 7.54s
 batch: 56/120  training loss: 0.64  train accuracy: 80.20%  duration: 7.53s
 batch: 57/120  training loss: 0.58  train accuracy: 83.20%  duration: 7.62s
 batch: 58/120  training loss: 0.57  train accuracy: 82.60%  duration: 7.67s
 batch: 59/120  training loss: 0.57  train accuracy: 83.40%  duration: 7.60s
 batch: 60/120  training loss: 0.57  train accuracy: 81.40%  duration: 7.54s
 batch: 61/120  training loss: 0.67  train accuracy: 80.00%  duration: 7.56s
 batch: 62/120  training loss: 0.64  train accuracy: 81.40%  duration: 7.63s
 batch: 63/120  training loss: 0.60  train accuracy: 81.20%  duration: 7.52s
 batch: 64/120  training loss: 0.65  train accuracy: 82.00%  duration: 7.56s
 batch: 65/120  training loss: 0.55  train accuracy: 83.00%  duration: 7.54s
 batch: 66/120  training loss: 0.52  train accuracy: 84.80%  duration: 7.57s
 batch: 67/120  training loss: 0.54  train accuracy: 83.60%  duration: 7.62s
 batch: 68/120  training loss: 0.66  train accuracy: 80.80%  duration: 7.74s
 batch: 69/120  training loss: 0.67  train accuracy: 80.40%  duration: 7.56s
 batch: 70/120  training loss: 0.62  train accuracy: 84.80%  duration: 7.58s
 batch: 71/120  training loss: 0.54  train accuracy: 83.00%  duration: 7.55s
 batch: 72/120  training loss: 0.51  train accuracy: 81.20%  duration: 7.56s
 batch: 73/120  training loss: 0.65  train accuracy: 82.00%  duration: 7.50s
 batch: 74/120  training loss: 0.60  train accuracy: 82.80%  duration: 7.58s
 batch: 75/120  training loss: 0.50  train accuracy: 83.80%  duration: 7.56s
 batch: 76/120  training loss: 0.56  train accuracy: 83.60%  duration: 7.51s
 batch: 77/120  training loss: 0.58  train accuracy: 81.00%  duration: 7.55s
 batch: 78/120  training loss: 0.56  train accuracy: 82.00%  duration: 7.64s
 batch: 79/120  training loss: 0.52  train accuracy: 85.80%  duration: 7.60s
 batch: 80/120  training loss: 0.53  train accuracy: 84.20%  duration: 7.83s
 batch: 81/120  training loss: 0.53  train accuracy: 82.80%  duration: 7.68s
 batch: 82/120  training loss: 0.57  train accuracy: 83.60%  duration: 7.61s
 batch: 83/120  training loss: 0.48  train accuracy: 86.20%  duration: 7.79s
 batch: 84/120  training loss: 0.56  train accuracy: 83.00%  duration: 7.61s
 batch: 85/120  training loss: 0.64  train accuracy: 82.40%  duration: 7.53s
 batch: 86/120  training loss: 0.59  train accuracy: 82.60%  duration: 7.92s
 batch: 87/120  training loss: 0.61  train accuracy: 81.00%  duration: 7.67s
 batch: 88/120  training loss: 0.56  train accuracy: 83.40%  duration: 7.63s
 batch: 89/120  training loss: 0.56  train accuracy: 83.60%  duration: 7.99s
